"Numero de trabajo","Oficina","Descripcion","Fecha","Tiempo de mantenimiento","Numero orden pago","Pagado en caja","Pagado con traspaso de cuenta","Equipos propios"
"5265","Externo","Software","1/31/2023","3","3778","10","",""
"5266","Externo","Software","1/31/2023","1","3776","10","",""
"5267","Externo","Software","1/31/2023","2","3778","10","",""
"5268","Externo","Software","1/31/2023","2","3779","10","",""
"5269","Externo","Software","1/31/2023","1","3780","10","",""
"5270","Alimentos","Software","2/8/2023","1","3782","","50",""
"5273","Externo","Hardware","2/16/2023","1","3783","30","",""
"5274","Externo","Hardware","2/23/2023","1","3784","120","",""
"5275","Externo","Hardware","2/28/2023","1","3785","10","",""
"5276","Externo","Software","3/1/2023","1","3786","10","",""
"5278","Valle Sajta","Hardware","3/2/2023","3","S/N","","",""
"5279","Externo","Software","3/2/2023","1","3787","10","",""
"5281","Valle Sajta","Hardware","3/2/2023","1","S/N","","",""
"5282","Externo","Software","3/7/2023","1","3788","15","",""
"5283","Externo","Software","3/7/2023","1","3789","20","",""
"5284","Almacenes","Software","3/8/2023","1","3790","","30",""
"5286","Externo","Software","3/8/2023","3","3791","10","",""
"5288","Centro de Aguas","Hardware","3/17/2023","1","3793","","30",""
"5289","Externo","Software","3/21/2023","1","3794","15","",""
"5290","Externo","Software","3/21/2023","1","3795","30","",""
"5291","Externo","Software","3/22/2023","1","3796","10","",""
"5293","Laboratorio de Computo","Hardware","3/23/2023","1","S/N","","","0"
"5294","Externo","Software","3/24/2023","1","3797","15","",""
"5295","Centro de Aguas","Software","3/28/2023","1","3798","","30",""
"5296","Externo","Software","3/28/2023","1","3799","10","",""
"5297","Externo","Software","3/28/2023","2","3800","10","",""
"5298","Alimentos","Software","3/31/2023","1","4951","","20",""
"5399","Externo","Hardware","4/3/2023","1","4959","30","",""
"5300","Hidraulica","Hardware","3/28/2023","1","4953","","15",""
"5301","Externo ","Software","4/6/2023","1","4955","10","",""
"5302","Externo ","Software","4/6/2023","1","4956","10","",""
"5303","Externo ","Software","4/6/2023","1","4957","10","",""
"5304","Laboratorio de Cómputo","Hardware","4/10/2023","1","S/N","","",""
"5305","Alimentos","Hardware","4/3/2023","1","4962","","15",""
"5306","Externo ","Hardware","3/3/2023","2","4966","15","",""
"5307","División de Activos Fijos","Hardware","4/6/2023","1","4965","","30",""
"5308","Externo ","Hardware","4/6/2023","1","4964","100","",""
"5309","Externo ","Software","4/6/2023","1","4960","10","",""
"5310","Externo ","Software","4/10/2023","1","4963","10","",""
"5311","Laboratorio de Computo","Hardware","4/11/2023","1","S/N","","",""
"5312","Laboratorio de Computo","Software","4/12/2023","2","S/N","","",""
"5315","Externo ","Software","4/11/2023","3","4967","10","",""
"5316","Externo ","Hardware","4/12/2023","1","4968","20","",""
"5317","Centro de Aguas","Hardware","4/13/2023","2","4971","","40",""
"5318","Externo ","Software","4/13/2023","1","4970","60","",""
"5319","Externo ","Hardware","4/14/2023","1","4969","15","",""
"5320","Secretaria Informatica y Sistemas ","Hardware","4/14/2023","3","S/N","","","60"
"5321","Externo ","Software","4/17/2023","1","4972","10","",""
"5322","Laboratorio de Computo","Hardware","4/17/2023","1","S/N","","","20"
"5323","Externo ","Software","4/14/2023","1","4973","10","",""
"5324","Externo ","Hardware","4/18/2023","1","4974","15","",""
"5325","Laboratorio de Computo","Software","4/18/2023","1","S/N","","","40"
"5326","Laboratorio de Cómputo","Software","4/18/2023","3","S/N","","","20"
"5327","Laboratorio de Cómputo","Software","4/18/2023","1","S/N","","","20"
"5329","Externo","Software","4/18/2023","1","4975","10","",""
"5331","Matematicas","Hardware","4/19/2023","1","4978","","60",""
"5332","Matematicas","Hardware","4/19/2023","1","4977","","60",""
"5333","Externo","Software","4/20/2023","1","4979","10","",""
"5335","Externo","Software","4/24/2023","2","4981","10","",""
"5336","Secretaria Informatica y Sistemas","Software","4/24/2023","1","S/N","","","10"
"5337","Instituto de Investigacion","Software","4/25/2023","1","4982","","40",""
"5338","Externo ","Software","4/25/2023","1","4983","10","",""
"5339","Laboratorio de Computo","Hardware","4/26/2023","1","","","",""
"5340","Instituto de Investigacion","Hardware","4/26/2023","3","","","",""
"5343","Externo ","Software","4/27/2023","3","4988","30","",""
"5344","Externo ","Software","4/27/2023","1","4986","15","",""
"5345","Externo ","Software","4/26/2023","1","4987","90","",""
"5346","Laboratorio de Computo","Hardware","4/28/2023","1","","","",""
"5347","Laboratorio de Computo","Hardware","4/28/2023","1","","","",""
"5348","","Software","5/3/2023","1","4989","10","",""
"5349","Externo","Hardware","5/4/2023","1","4990","15","",""
"5350","Externo","Hardware","5/8/2023","1","4991","100","",""
"5351","Externo","Software","5/8/2023","1","4992","10","",""
"5352","Externo","Hardware","5/9/2023","1","4994","80","",""
"5353","Externo","Hardware","5/10/2023","1","4995","80","",""
"5354","Externo","Hardware","5/11/2023","2","S/N","","","30"
"5355","Laboratorio de Computo","Hardware","5/11/2023","3","S/N","","","10"
"5358","Laboratorio de Computo","Hardware","5/15/2023","1","4999","","40",""
"5359","Proyecto Tamborada","Software","5/15/2023","1","5000","15","",""
"5360","Externo","Software","5/15/2023","1","5651","10","",""
"5361","Externo","Hardware","5/17/2023","1","S/N","","","40"
"5362","Laboratorio de Computo","Hardware","5/17/2023","1","S/N","","","40"
"5363","Laboratorio de Computo","Hardware","5/29/2023","1","","","",""
"5364","Biodiversidad y Genética","Software","5/17/2023","1","5652","10","",""
"5365","Externo","Hardware","5/18/2023","1","5653","70","",""
"5367","Externo","Software","5/22/2023","1","5655","10","",""
"5368","Externo","Hardware","5/29/2023","1","5658","120","",""
"5369","Externo","Hardware","5/29/2023","1","5657","15","",""
"5370","Externo","Software","5/30/2023","1","5659","10","",""
"5371","Externo","Software","5/31/2023","1","5660","60","",""
